_id;qtd;used;code;benefitId;createdAt;__v
5cb60f77aaae2d3bb71eead8;1;;438692-41758D62CF9;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eead9;1;;438693-456B3CA628A;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeada;1;;438694-460DB7ECF25;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeadc;1;;438696-45E590276EE;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeadb;1;;438695-4F0F3F26815;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeadd;1;;438697-47E7196ACB9;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeade;1;;438698-452034B37C1;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeadf;1;;438699-4002AEE2064;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeae1;1;;438701-4646AA4F22E;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeae0;1;;438700-488DE47882A;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeae2;1;;438702-47B8C6803B2;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeae3;1;;438703-434527DFBF4;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeae4;1;;438704-440C308D3F5;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeae6;1;;438706-4E54945E798;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeae5;1;;438705-4AC6B8E5C0A;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeae7;1;;438707-45D7C85C545;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeae8;1;;438708-4E8D113E681;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeae9;1;;438709-4DC9061BF06;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeaea;1;;438710-4D73EC89B2E;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeaeb;1;;438711-4FB94E6557C;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeaec;1;;438712-4DF798306A9;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeaed;1;;438713-477E8387605;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeaee;1;;438714-44AD9258054;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeaf0;1;;438716-41768942230;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeaef;1;;438715-44F2A6F8526;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeaf1;1;;438717-44C743819CD;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeaf2;1;;438718-4B753077855;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
